05/30/2019 23:00:06 PM - INFO - 持仓,操作日期,2011-04-26,股票名称,股票具体名称,当前价格,价格,今日指标,指标,ROE,roe,PE,pe,所属板块,板块
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-03,股票名称,四川双马,当前价格,10.691143705,今日指标,-169.8959787888889,ROE,34.498111111111115,PE,61.937603,所属板块,建筑材料
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-23,股票名称,闻泰科技,当前价格,8.43946008,今日指标,-4.932088222222205,ROE,72.08799777777779,PE,23.33942,所属板块,电子
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-23,股票名称,浙江医药,当前价格,16.2622611,今日指标,-6.777013466666659,ROE,40.630113333333334,PE,14.365796,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-23,股票名称,新和成,当前价格,8.7052416,今日指标,-23.646930588888885,ROE,42.464111111111116,PE,20.033649,所属板块,医药生物
05/30/2019 23:11:54 PM - INFO - 明日操作,持仓,操作日期,2011-03-23,股票名称,四川双马,当前价格,12.63992163,今日指标,-194.27926298888886,ROE,34.498111111111115,PE,69.326477,所属板块,建筑材料
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-02,股票名称,闻泰科技,当前价格,10.493112,今日指标,-11.84134772222221,ROE,72.08799777777779,PE,25.433135,所属板块,电子
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-02,股票名称,浙江医药,当前价格,18.321652460000003,今日指标,-6.893747666666663,ROE,40.630113333333334,PE,14.40117,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-02,股票名称,新和成,当前价格,10.20392808,今日指标,-25.261300488888885,ROE,42.464111111111116,PE,20.522852,所属板块,医药生物
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-02,股票名称,四川双马,当前价格,14.164408665,今日指标,-184.62413618888888,ROE,34.498111111111115,PE,66.400681,所属板块,建筑材料
05/30/2019 23:11:55 PM - INFO - 明日操作,持仓,操作日期,2011-04-12,股票名称,闻泰科技,当前价格,11.17266592,今日指标,-8.495811022222213,ROE,72.08799777777779,PE,24.419336,所属板块,电子
