code,code_name,industry,industryClassification
sz.300253,卫宁健康,计算机,申万一级行业
sz.300254,仟源医药,医药生物,申万一级行业
sz.300255,常山药业,医药生物,申万一级行业
sz.300256,星星科技,电子,申万一级行业
sz.300257,开山股份,机械设备,申万一级行业
sz.300258,精锻科技,汽车,申万一级行业
sz.300259,新天科技,机械设备,申万一级行业
sz.300260,新莱应材,机械设备,申万一级行业
sz.300261,雅本化学,化工,申万一级行业
sz.300262,巴安水务,公用事业,申万一级行业
sz.300263,隆华科技,公用事业,申万一级行业
sz.300264,佳创视讯,计算机,申万一级行业
sz.300265,通光线缆,电气设备,申万一级行业
sz.300266,兴源环境,公用事业,申万一级行业
sz.300267,尔康制药,医药生物,申万一级行业
sz.300268,佳沃股份,农林牧渔,申万一级行业
sz.300269,联建光电,传媒,申万一级行业
sz.300270,中威电子,计算机,申万一级行业
sz.300271,华宇软件,计算机,申万一级行业
sz.300272,开能健康,家用电器,申万一级行业
sz.300273,和佳股份,医药生物,申万一级行业
sz.300274,阳光电源,电气设备,申万一级行业
sz.300275,梅安森,机械设备,申万一级行业
sz.300276,三丰智能,机械设备,申万一级行业
sz.300277,海联讯,计算机,申万一级行业
sz.300278,华昌达,机械设备,申万一级行业
sz.300279,和晶科技,电子,申万一级行业
sz.300280,紫天科技,机械设备,申万一级行业
sz.300281,金明精机,机械设备,申万一级行业
sz.300282,三盛教育,电子,申万一级行业
sz.300283,温州宏丰,电气设备,申万一级行业
sz.300284,苏交科,建筑装饰,申万一级行业
sz.300285,国瓷材料,化工,申万一级行业
sz.300286,安科瑞,电气设备,申万一级行业
sz.300287,飞利信,计算机,申万一级行业
sz.300288,朗玛信息,计算机,申万一级行业
sz.300289,利德曼,医药生物,申万一级行业
sz.300290,荣科科技,计算机,申万一级行业
sz.300291,华录百纳,传媒,申万一级行业
sz.300292,吴通控股,通信,申万一级行业
sz.300293,蓝英装备,机械设备,申万一级行业
sz.300294,博雅生物,医药生物,申万一级行业
sz.300295,三六五网,传媒,申万一级行业
sz.300296,利亚德,电子,申万一级行业
sz.300297,蓝盾股份,计算机,申万一级行业
sz.300298,三诺生物,医药生物,申万一级行业
sz.300299,富春股份,传媒,申万一级行业
sz.300300,汉鼎宇佑,计算机,申万一级行业
sz.300301,长方集团,电子,申万一级行业
sz.300302,同有科技,计算机,申万一级行业
sz.300303,聚飞光电,电子,申万一级行业
sz.300304,云意电气,汽车,申万一级行业
sz.300305,裕兴股份,化工,申万一级行业
sz.300306,远方信息,机械设备,申万一级行业
sz.300307,慈星股份,机械设备,申万一级行业
sz.300308,中际旭创,通信,申万一级行业
sz.300309,吉艾科技,非银金融,申万一级行业
sz.300310,宜通世纪,通信,申万一级行业
sz.300311,任子行,计算机,申万一级行业
sz.300312,邦讯技术,通信,申万一级行业
sz.300313,天山生物,农林牧渔,申万一级行业
sz.300314,戴维医疗,医药生物,申万一级行业
sz.300315,掌趣科技,传媒,申万一级行业
sz.300316,晶盛机电,电气设备,申万一级行业
sz.300317,珈伟新能,电气设备,申万一级行业
sz.300318,博晖创新,医药生物,申万一级行业
sz.300319,麦捷科技,电子,申万一级行业
sz.300320,海达股份,化工,申万一级行业
sz.300321,同大股份,化工,申万一级行业
sz.300322,硕贝德,电子,申万一级行业
sz.300323,华灿光电,电子,申万一级行业
sz.300324,旋极信息,计算机,申万一级行业
sz.300325,德威新材,化工,申万一级行业
sz.300326,凯利泰,医药生物,申万一级行业
sz.300327,中颖电子,电子,申万一级行业
sz.300328,宜安科技,有色金属,申万一级行业
sz.300329,海伦钢琴,轻工制造,申万一级行业
sz.300330,华虹计通,计算机,申万一级行业
sz.300331,苏大维格,电子,申万一级行业
sz.300332,天壕环境,公用事业,申万一级行业
sz.300333,兆日科技,计算机,申万一级行业
sz.300334,津膜科技,公用事业,申万一级行业
sz.300335,迪森股份,公用事业,申万一级行业
sz.300336,新文化,传媒,申万一级行业
sz.300337,银邦股份,有色金属,申万一级行业
sz.300338,开元股份,传媒,申万一级行业
sz.300339,润和软件,计算机,申万一级行业
sz.300340,科恒股份,电子,申万一级行业
sz.300341,麦克奥迪,机械设备,申万一级行业
sz.300342,天银机电,家用电器,申万一级行业
sz.300343,联创互联,传媒,申万一级行业
sz.300344,太空智造,建筑材料,申万一级行业
sz.300345,红宇新材,机械设备,申万一级行业
sz.300346,南大光电,电子,申万一级行业
