date,code,close,peTTM,pbMRQ,psTTM,pcfNcfTTM
2019-04-02,sh.600158,62.4964001100,124.790746,6.176602,7.221803,44.268918
2019-04-02,sh.600159,12.9398085300,95.502314,1.229574,3.802598,-120.152371
2019-04-02,sh.600160,68.5580310000,13.873861,2.011163,1.571685,21.200351
2019-04-02,sh.600161,177.0870982000,43.430500,6.563313,7.549126,-33.132656
2019-04-02,sh.600162,19.5460552500,14.100981,2.014402,2.250430,-4.218883
2019-04-02,sh.600163,7.8480729600,26.821683,2.424364,7.606560,177.218665
2019-04-02,sh.600165,25.5360394500,98.351002,4.484197,6.604710,55.052050
2019-04-02,sh.600167,32.8018842400,18.539325,3.997747,8.037825,-19.657361
2019-04-02,sh.600168,11.7330141500,17.333888,1.026362,3.604037,8.404884
2019-04-02,sh.600169,23.7973632000,193.246189,1.934063,1.185373,37.053073
2019-04-02,sh.600170,41.9047824000,12.492380,1.413004,0.203624,107.265717
2019-04-02,sh.600171,32.4305487800,104.423296,4.387177,13.584661,-84.131745
2019-04-02,sh.600172,30.0360780000,154.577582,1.338905,1.933181,23.301894
2019-04-02,sh.600173,10.7085819000,8.994569,1.735402,1.459704,-3483.989349
2019-04-02,sh.600175,37.5892238400,56.065028,0.903923,1.578522,-5.789740
2019-04-02,sh.600176,129.2159671200,16.862566,2.811538,3.990199,-114.563404
2019-04-02,sh.600178,9.5564044800,507.736186,1.511124,2.187090,30.505635
2019-04-02,sh.600179,13.6991414000,17.460513,3.581731,1.264913,347.192635
2019-04-02,sh.600180,24.3337689000,15.595633,2.052421,0.278372,43.257783
2019-04-02,sh.600182,20.6793855000,63.460503,6.699637,1.780930,57.660445
2019-04-02,sh.600183,115.9035903900,28.085972,4.600290,2.345292,-25.447642
2019-04-02,sh.600184,41.7966267100,119.655881,2.986813,2.862721,-48.659634
2019-04-02,sh.600185,32.1755890700,20.225590,1.614096,4.394485,-6.886183
2019-04-02,sh.600187,15.6272725000,849.134408,1.689139,13.605610,16.018681
2019-04-02,sh.600188,24.3289467800,6.918766,1.079813,0.335687,8.686125
2019-04-02,sh.600189,9.8724433500,34.950495,1.203627,2.422712,6.406016
2019-04-02,sh.600190,8.9589291800,48.987742,1.384930,1.467861,600.673422
2019-04-02,sh.600192,9.9674419200,280.891589,1.684249,1.822318,-3230.608382
2019-04-02,sh.600193,20.4051474000,54.308660,7.893046,7.351109,-92.934881
2019-04-02,sh.600195,36.2590076500,17.038002,2.066777,1.743125,-15.472953
2019-04-02,sh.600196,374.6549442600,28.451916,2.753819,3.091932,93.424204
2019-04-02,sh.600197,61.8468170400,21.616873,4.051586,4.216106,77.682344
2019-04-02,sh.600199,30.3784385600,963.486268,2.077394,3.704440,-17.563869
2019-04-02,sh.600200,60.7373337000,40.422051,2.058373,2.997732,62.972579
2019-04-02,sh.600201,214.3760824700,23.940267,4.077809,10.353829,-13.734916
2019-04-02,sh.600202,23.2366546800,112.575855,3.805398,3.051531,-18.868278
2019-04-02,sh.600206,30.5416937000,106.625239,2.858259,1.765965,-58.763968
2019-04-02,sh.600208,22.4680176000,11.050051,1.126696,2.434851,-11.882634
2019-04-02,sh.600210,27.2729714900,26.266803,1.640843,0.807444,15.307594
2019-04-02,sh.600211,52.1761186800,35.164695,3.365953,7.376087,35.440598
2019-04-02,sh.600213,8.4100197500,47.101485,9.069435,0.668008,-6.141280
2019-04-02,sh.600215,15.2881623500,56.217860,1.706605,5.908765,4.341489
2019-04-02,sh.600216,47.3855016000,16.750294,1.378443,1.549124,-60.243570
2019-04-02,sh.600217,20.3252058000,31.215932,4.556597,3.360934,33.300312
2019-04-02,sh.600218,17.5221072000,108.722149,2.226758,1.240820,25.056244
2019-04-02,sh.600219,14.9827972000,19.843942,0.994744,1.667414,-59.682064
2019-04-02,sh.600220,25.0112398400,43.362269,2.721622,2.511999,-16.923397
2019-04-02,sh.600221,5.3580210600,28.829192,0.713349,0.556221,-2.640601
2019-04-02,sh.600223,5.9005786500,25.014888,1.663359,0.459560,18.082937
2019-04-02,sh.600226,100.3552780500,56.587522,3.260790,13.843886,-20.610093
2019-04-02,sh.600227,17.6330838600,27.746722,1.442811,3.009497,-34.454694
2019-04-02,sh.600228,14.2021504600,38.760941,34.626850,3.776579,126.899496
2019-04-02,sh.600229,9.8708585200,17.927873,2.529432,2.817827,-164.857538
2019-04-02,sh.600230,36.5607919500,9.413914,2.599994,2.104982,9.436007
2019-04-02,sh.600231,22.4135454000,8.192698,1.317479,0.472150,52.630850
2019-04-02,sh.600232,15.7704440000,89.706508,2.449522,2.252333,69.991946
2019-04-02,sh.600233,52.0407420400,23.956342,3.811898,1.525300,-36.957492
2019-04-02,sh.600235,11.9958947200,257.937209,2.009235,1.703391,-844.126317
2019-04-02,sh.600236,23.6525252800,13.330101,2.621560,4.107913,45.800974
2019-04-02,sh.600237,14.8067113500,271.717257,2.116811,3.026356,-74.356434
2019-04-02,sh.600239,73.7448752600,8.683544,1.541695,0.502300,-2.667198
2019-04-02,sh.600242,12.9831465600,46.871182,2.846527,2.082441,27.707239
2019-04-02,sh.600246,41.3889345000,28.242493,1.283199,2.535974,-9.758433
2019-04-02,sh.600247,18.9624803200,6.549161,110.432812,45.123788,4077.018805
2019-04-02,sh.600248,16.0224932000,29.879866,2.058499,0.997367,15.783843
2019-04-02,sh.600250,19.4937215000,12.711549,5.423700,2.147752,-16.270590
